suburb,point
Lake View,"41.9528,-87.65"
Lake View,"41.9367,-87.6368"
West Town,"41.8964,-87.661"
,"41.8944,-87.6227"
Near South Side,"41.8672,-87.626"
Lincoln Park,"41.9259,-87.639"
Uptown,"41.964,-87.6382"
West Town,"41.9094,-87.6777"
Lincoln Park,"41.9032,-87.6343"
Edgewater,"41.984,-87.6523"
Lincoln Park,"41.9326,-87.6364"
Near South Side,"41.8672,-87.626"
West Town,"41.8964,-87.661"
,"41.8923,-87.612"
,"41.8915,-87.6268"
Lake View,"41.9376,-87.6441"
Loop,"41.8813,-87.6295"
West Town,"41.8992,-87.6722"
Loop,"41.8864,-87.6175"
Lake View,"41.9376,-87.644"
Lower West Side,"41.8581,-87.6511"
,"41.9023,-87.6277"
West Town,"41.8984,-87.6866"
Lincoln Park,"41.9289,-87.659"
Lincoln Park,"41.9322,-87.6586"
,"41.8982,-87.6375"
Loop,"41.8728,-87.624"
Loop,"41.886,-87.6309"
Lincoln Park,"41.9295,-87.6431"
Lincoln Park,"41.9291,-87.6491"
,"41.8999,-87.6344"
Near North Side,"41.8967,-87.6357"
Lincoln Park,"41.9218,-87.6441"
Hyde Park,"41.7887,-87.6013"
Lake View,"41.9367,-87.6368"
West Town,"41.8911,-87.6666"
,"41.8892,-87.6385"
Lincoln Park,"41.9313,-87.6387"
Lincoln Square,"41.9659,-87.6936"
Lake View,"41.9561,-87.6688"
Lincoln Park,"41.9287,-87.6538"
Edgewater,"41.978,-87.668"
Near North Side,"41.8986,-87.6219"
Logan Square,"41.916,-87.6689"
Lincoln Park,"41.9263,-87.6308"
,"41.9069,-87.6262"
Lincoln Park,"41.9322,-87.6586"
Lincoln Park,"41.9256,-87.6537"
West Town,"41.9014,-87.6773"
Lake View,"41.9408,-87.6392"
West Town,"41.9077,-87.6726"
Austin,"41.8868,-87.7453"
West Town,"41.9033,-87.6784"
Loop,"41.8728,-87.624"
Lake View,"41.9402,-87.653"
Loop,"41.8679,-87.623"
Lake View,"41.9437,-87.649"
Lake View,"41.9365,-87.6475"
Near North Side,"41.889,-87.628"
Lake View,"41.9495,-87.6465"
Lincoln Park,"41.9139,-87.6488"
,"41.8945,-87.6178"
Near West Side,"41.8834,-87.6412"
Near West Side,"41.8781,-87.6398"
Rogers Park,"42.0044,-87.6724"
Loop,"41.8708,-87.6257"
Loop,"41.881,-87.6167"
Uptown,"41.9738,-87.6597"
Loop,"41.8821,-87.6251"
Loop,"41.8726,-87.6335"
Douglas,"41.8386,-87.6082"
Douglas,"41.8347,-87.6258"
Lincoln Park,"41.9326,-87.6364"
Lincoln Park,"41.9326,-87.6364"
Near North Side,"41.8947,-87.6384"
Lincoln Park,"41.9259,-87.6493"
Loop,"41.886,-87.6309"
,"41.9046,-87.6406"
Lincoln Park,"41.9032,-87.6343"
Lincoln Park,"41.9114,-87.6387"
,"41.8923,-87.612"
Near North Side,"41.8986,-87.6219"
Hyde Park,"41.7996,-87.5948"
,"41.8923,-87.612"
Near West Side,"41.8718,-87.6467"
Loop,"41.8847,-87.6195"
Lincoln Park,"41.9117,-87.6268"
Lincoln Park,"41.9117,-87.6268"
Grand Boulevard,"41.803,-87.6066"
Near North Side,"41.8986,-87.6219"
,"41.8906,-87.6221"
Lower West Side,"41.8581,-87.6511"
Lincoln Park,"41.9263,-87.6308"
Edgewater,"41.9784,-87.6598"
Near West Side,"41.8673,-87.6486"
Near South Side,"41.8653,-87.6179"
Loop,"41.887,-87.6128"
Loop,"41.8839,-87.6241"
Loop,"41.881,-87.6167"
Loop,"41.8864,-87.6175"
Near North Side,"41.8949,-87.6323"
Near West Side,"41.873,-87.6691"
West Town,"41.9033,-87.6784"
,"41.9025,-87.6278"
Uptown,"41.9585,-87.655"
Woodlawn,"41.7806,-87.6061"
Lincoln Park,"41.9322,-87.6586"
Logan Square,"41.9244,-87.7154"
West Town,"41.9094,-87.6777"
Near West Side,"41.8856,-87.6418"
West Town,"41.9077,-87.6726"
Lincoln Park,"41.9291,-87.6491"
Lincoln Park,"41.9263,-87.6308"
,"41.903,-87.6313"
,"41.903,-87.6313"
Near West Side,"41.8777,-87.6548"
Lincoln Park,"41.9259,-87.639"
Near South Side,"41.8563,-87.6134"
Lincoln Park,"41.9184,-87.6522"
McKinley Park,"41.8288,-87.6806"
New City,"41.8306,-87.6413"
Loop,"41.884,-87.6247"
Lincoln Park,"41.9139,-87.6488"
Hyde Park,"41.7995,-87.5947"
West Town,"41.8912,-87.6769"
Loop,"41.8858,-87.6355"
Near West Side,"41.8822,-87.6411"
Lake View,"41.9491,-87.6486"
West Town,"41.9126,-87.6814"
Uptown,"41.9671,-87.6674"
Near South Side,"41.8604,-87.6258"
Loop,"41.8847,-87.6195"
Lincoln Park,"41.9256,-87.6537"
,"41.899,-87.6299"
,"41.8926,-87.6145"
Near North Side,"41.894,-87.6293"
Loop,"41.8721,-87.6295"
Near West Side,"41.8722,-87.6615"
Near West Side,"41.8841,-87.6543"
Lincoln Park,"41.9139,-87.6488"
Hyde Park,"41.8026,-87.5904"
Humboldt Park,"41.8948,-87.7308"
Irving Park,"41.9463,-87.731"
Lincoln Park,"41.9184,-87.6363"
Near North Side,"41.891,-87.6355"
Lake View,"41.9365,-87.6477"
Logan Square,"41.9227,-87.6971"
Near West Side,"41.8781,-87.644"
Near West Side,"41.8855,-87.6523"
Lincoln Park,"41.9114,-87.6387"
,"41.8926,-87.6145"
Lake View,"41.9401,-87.6455"
Lake View,"41.9402,-87.653"
Lake View,"41.9401,-87.6455"
Near South Side,"41.8563,-87.6134"
Lake View,"41.9437,-87.664"
Near West Side,"41.8819,-87.6488"
Logan Square,"41.916,-87.6773"
West Town,"41.9094,-87.6777"
Near West Side,"41.8772,-87.6394"
,"41.8999,-87.6344"
Near West Side,"41.8822,-87.6411"
Lincoln Square,"41.9671,-87.679"
Lincoln Park,"41.9256,-87.6584"
Lincoln Park,"41.9324,-87.6527"
Loop,"41.8728,-87.624"
Lincoln Park,"41.9181,-87.6437"
Lincoln Square,"41.9691,-87.6742"
Loop,"41.8765,-87.6205"
Loop,"41.8765,-87.6205"
Lake View,"41.9401,-87.6455"
Near South Side,"41.8672,-87.626"
Lake View,"41.9402,-87.653"
Lake View,"41.9437,-87.664"
Lake View,"41.9365,-87.6475"
Lincoln Park,"41.9312,-87.6443"
West Town,"41.9033,-87.6784"
,"41.956,-87.6802"
Lincoln Park,"41.9287,-87.6538"
,"41.8899,-87.6343"
,"41.8899,-87.6343"
Lincoln Park,"41.9259,-87.639"
Uptown,"41.961,-87.6496"
Lake View,"41.9495,-87.6465"
Loop,"41.8864,-87.6175"
Near North Side,"41.894,-87.6293"
Loop,"41.8795,-87.6257"
,"41.908,-87.6315"
Near North Side,"41.8938,-87.6417"
Uptown,"41.9658,-87.6454"
Near North Side,"41.891,-87.6355"
Lincoln Park,"41.9183,-87.6363"
Lake View,"41.9408,-87.6392"
Lincoln Park,"41.9121,-87.6347"
Lincoln Park,"41.9117,-87.6268"
Near North Side,"41.8986,-87.6219"
West Town,"41.8996,-87.6677"
Loop,"41.8846,-87.6319"
Loop,"41.874,-87.6277"
Lincoln Park,"41.9263,-87.6308"
,"41.8908,-87.6317"
,"41.8947,-87.6344"
Lincoln Park,"41.9263,-87.6308"
Loop,"41.887,-87.6128"
Lincoln Park,"41.9218,-87.6441"
Edgewater,"41.9836,-87.6692"
Lincoln Park,"41.9326,-87.6364"
Austin,"41.8801,-87.7632"
Lake View,"41.9376,-87.6441"
West Town,"41.9033,-87.6784"
Logan Square,"41.9267,-87.6977"
,"41.8947,-87.6344"
Loop,"41.8778,-87.6241"
Rogers Park,"42.008,-87.6655"
Near West Side,"41.8793,-87.6399"
Greater Grand Crossing,"41.7509,-87.6138"
Lincoln Square,"41.9798,-87.6776"
,"41.956,-87.6803"
Lincoln Park,"41.9218,-87.6441"
Near West Side,"41.8828,-87.6612"
Lincoln Park,"41.9121,-87.6347"
Near West Side,"41.8695,-87.6555"
Lower West Side,"41.8579,-87.6688"
Near North Side,"41.8967,-87.6357"
,"41.9467,-87.6834"
Lincoln Park,"41.9263,-87.6308"
Lincoln Park,"41.9256,-87.6584"
Loop,"41.881,-87.6241"
Logan Square,"41.9296,-87.7079"
Lake View,"41.9394,-87.6684"
West Town,"41.9034,-87.6678"
Lincoln Park,"41.9259,-87.6493"
Lincoln Park,"41.9032,-87.6343"
Lincoln Park,"41.9157,-87.6346"
Near South Side,"41.8563,-87.6134"
Near North Side,"41.8967,-87.6357"
Douglas,"41.8347,-87.6258"
Lake View,"41.9445,-87.6548"
Edgewater,"41.9836,-87.6692"
Near West Side,"41.8828,-87.6612"
Uptown,"41.9688,-87.6577"
Douglas,"41.8386,-87.6082"
Lincoln Park,"41.9263,-87.6308"
,"41.9097,-87.6481"
Loop,"41.881,-87.6167"
Loop,"41.886,-87.6309"
Uptown,"41.9733,-87.6678"
,"41.9097,-87.6481"
,"41.9029,-87.6377"
Lincoln Park,"41.9288,-87.6639"
,"41.8984,-87.6224"
West Town,"41.9126,-87.6814"
Near West Side,"41.873,-87.6691"
Near West Side,"41.8814,-87.6749"
Loop,"41.8794,-87.6298"
Uptown,"41.9695,-87.6547"
Lake View,"41.9544,-87.648"
Uptown,"41.9639,-87.6382"
Lincoln Park,"41.9313,-87.6387"
Loop,"41.881,-87.6167"
Near West Side,"41.8841,-87.6543"
Near West Side,"41.8722,-87.6615"
,"41.9023,-87.6277"
Lake View,"41.9377,-87.644"
Hyde Park,"41.7952,-87.581"
West Town,"41.8956,-87.6771"
Irving Park,"41.961,-87.7058"
Near South Side,"41.8661,-87.6073"
Lincoln Square,"41.9691,-87.6742"
,"41.903,-87.6313"
Logan Square,"41.9145,-87.6679"
Loop,"41.8842,-87.6296"
Loop,"41.8705,-87.6255"
Loop,"41.881,-87.6241"
Lincoln Park,"41.9183,-87.6362"
Hyde Park,"41.7953,-87.5965"
Lincoln Park,"41.9137,-87.6529"
Near West Side,"41.8776,-87.6496"
Near West Side,"41.8781,-87.6398"
,"41.8944,-87.6227"
,"41.8906,-87.6221"
Lincoln Park,"41.9032,-87.6343"
Loop,"41.8864,-87.6175"
Near North Side,"41.892,-87.6204"
Lake View,"41.9377,-87.644"
Lincoln Park,"41.9199,-87.6488"
Loop,"41.8813,-87.6295"
West Town,"41.9127,-87.6814"
,"42.0417,-87.6807"
Lincoln Square,"41.9691,-87.6742"
Near West Side,"41.8846,-87.6446"
,"41.9076,-87.6386"
Lincoln Park,"41.912,-87.6319"
Lincoln Park,"41.9217,-87.6537"
Lincoln Park,"41.9222,-87.6389"
Loop,"41.8772,-87.6278"
Near West Side,"41.8652,-87.6665"
West Town,"41.9013,-87.6774"
Lincoln Park,"41.9199,-87.6488"
Near West Side,"41.8817,-87.6491"
Lincoln Park,"41.92,-87.6488"
Lincoln Park,"41.9259,-87.639"
West Town,"41.8916,-87.6484"
Loop,"41.8679,-87.623"
Lincoln Park,"41.9218,-87.6538"
Lake View,"41.9561,-87.6689"
West Town,"41.9033,-87.6784"
,"41.8944,-87.6227"
Near South Side,"41.8578,-87.6246"
,"41.9067,-87.6348"
,"41.9434,-87.6796"
Near West Side,"41.8822,-87.6411"
,"41.9069,-87.6262"
,"41.8966,-87.6309"
Near North Side,"41.894,-87.6293"
Near North Side,"41.894,-87.6293"
Near West Side,"41.8855,-87.6523"
Lake View,"41.9437,-87.649"
Lake View,"41.9365,-87.6475"
Loop,"41.8856,-87.631"
,"41.8923,-87.6122"
Uptown,"41.9671,-87.6674"
,"41.8989,-87.6299"
Lincoln Park,"41.9182,-87.6569"
,"42.0482,-87.6835"
West Town,"41.8887,-87.6445"
Lincoln Park,"41.9262,-87.631"
Loop,"41.8721,-87.6295"
Lincoln Park,"41.9218,-87.644"
Lincoln Park,"41.9182,-87.6569"
Loop,"41.8847,-87.6195"
,"41.8923,-87.612"
,"41.8942,-87.6229"
Logan Square,"41.9178,-87.6824"
Lincoln Park,"41.9259,-87.6493"
Loop,"41.8841,-87.6248"
West Town,"41.9078,-87.6859"
Near North Side,"41.8967,-87.6357"
Near West Side,"41.8854,-87.6418"
Lincoln Park,"41.9289,-87.659"
Lincoln Park,"41.9292,-87.6492"
Loop,"41.8782,-87.6319"
Lake View,"41.9455,-87.6465"
Near West Side,"41.8772,-87.6394"
Lincoln Park,"41.9291,-87.6491"
West Town,"41.9094,-87.6777"
,"41.908,-87.6315"
West Town,"41.9105,-87.6896"
Lincoln Park,"41.9259,-87.6493"
,"41.9106,-87.6494"
Loop,"41.8725,-87.6241"
Lincoln Park,"41.9292,-87.6492"
Lincoln Park,"41.9288,-87.6638"
Kenwood,"41.8058,-87.5925"
Grand Boulevard,"41.8167,-87.6194"
,"41.8947,-87.6344"
Near North Side,"41.8986,-87.6219"
Lincoln Park,"41.9218,-87.644"
Hyde Park,"41.7996,-87.5948"
Loop,"41.8777,-87.6353"
,"41.8901,-87.634"
Rogers Park,"42.0045,-87.6615"
Near West Side,"41.8713,-87.6737"
Uptown,"41.9733,-87.6697"
Near West Side,"41.886,-87.677"
Near West Side,"41.8835,-87.6486"
Loop,"41.8772,-87.6278"
Near North Side,"41.889,-87.6276"
Near West Side,"41.8835,-87.6414"
Near North Side,"41.8987,-87.6227"
Loop,"41.8778,-87.6241"
Hyde Park,"41.7915,-87.5999"
,"41.891,-87.6354"
Lake View,"41.9544,-87.648"
Lincoln Park,"41.9312,-87.6443"
Loop,"41.8721,-87.6296"
Lake View,"41.9491,-87.6486"
Lake View,"41.9495,-87.6465"
Loop,"41.881,-87.6241"
Uptown,"41.9716,-87.6502"
Lincoln Park,"41.9114,-87.6387"
West Town,"41.9031,-87.6738"
Logan Square,"41.9215,-87.7073"
Lincoln Park,"41.9222,-87.6389"
West Town,"41.9035,-87.6678"
Lake View,"41.9376,-87.6441"
Near North Side,"41.8978,-87.6429"
Logan Square,"41.9294,-87.6841"
Lake View,"41.9357,-87.6636"
Lincoln Park,"41.9319,-87.6779"
Uptown,"41.9616,-87.6547"
New City,"41.8306,-87.6413"
Near West Side,"41.8837,-87.6487"
Lake View,"41.9402,-87.653"
Loop,"41.8803,-87.6352"
,"42.0326,-87.6791"
Lincoln Park,"41.9158,-87.6346"
Loop,"41.881,-87.6167"
Lincoln Park,"41.9222,-87.6389"
Loop,"41.881,-87.6168"
,"41.8923,-87.612"
,"41.9359,-87.6784"
Lincoln Park,"41.9138,-87.6487"
Lake View,"41.9547,-87.6739"
Loop,"41.8708,-87.6257"
Near West Side,"41.8846,-87.6446"
Near West Side,"41.867,-87.6411"
Lincoln Park,"41.9324,-87.6527"
Lincoln Park,"41.9121,-87.6347"
Lincoln Park,"41.9324,-87.6527"
Douglas,"41.831,-87.6268"
,"41.9067,-87.6352"
Near West Side,"41.8834,-87.6412"
Loop,"41.881,-87.6241"
Lincoln Square,"41.969,-87.696"
Loop,"41.884,-87.6247"
Near West Side,"41.8653,-87.6665"
,"41.9046,-87.6406"
Near West Side,"41.873,-87.6692"
Loop,"41.8721,-87.6295"
,"41.9067,-87.6348"
Loop,"41.8869,-87.626"
Lincoln Park,"41.9182,-87.6569"
Lower West Side,"41.8579,-87.6688"
Loop,"41.886,-87.6241"
Loop,"41.8708,-87.6257"
Douglas,"41.8386,-87.6082"
Lincoln Park,"41.9259,-87.6493"
West Town,"41.8958,-87.6772"
Loop,"41.887,-87.6128"
West Town,"41.9102,-87.6824"
Near West Side,"41.8817,-87.6489"
Lincoln Park,"41.9184,-87.6521"
Lincoln Park,"41.92,-87.6488"
Lincoln Park,"41.9312,-87.6443"
Lake View,"41.9394,-87.6638"
Near West Side,"41.8671,-87.6411"
Douglas,"41.8347,-87.6258"
Near North Side,"41.8978,-87.6429"
Loop,"41.881,-87.6167"
West Town,"41.8895,-87.6882"
Loop,"41.8842,-87.6296"
Uptown,"41.9617,-87.6546"
Near West Side,"41.873,-87.6691"
Lincoln Park,"41.9268,-87.6344"
Woodlawn,"41.7851,-87.6011"
,"41.8943,-87.6228"
Near North Side,"41.8913,-87.6267"
,"42.0505,-87.6778"
Hyde Park,"41.7996,-87.5948"
,"41.908,-87.6315"
,"41.943,-87.6873"
,"41.908,-87.6315"
Lake View,"41.9438,-87.6639"
Near North Side,"41.894,-87.6293"
Near South Side,"41.8661,-87.6073"
Lincoln Park,"41.9289,-87.6591"
Douglas,"41.8421,-87.617"
Lincoln Park,"41.92,-87.649"
West Town,"41.8885,-87.6444"
Lake View,"41.9544,-87.6482"
Near West Side,"41.8837,-87.6487"
Lincoln Park,"41.9287,-87.6538"
Loop,"41.8728,-87.624"
Irving Park,"41.9611,-87.6954"
Lake View,"41.9365,-87.6475"
Lincoln Square,"41.963,-87.6848"
Lake View,"41.9528,-87.65"
Loop,"41.8778,-87.6241"
Lincoln Park,"41.9137,-87.6529"
Near North Side,"41.8986,-87.6219"
Kenwood,"41.8094,-87.5919"
Lincoln Park,"41.9256,-87.6585"
Hyde Park,"41.7952,-87.5809"
Lincoln Park,"41.9181,-87.6437"
Lincoln Park,"41.9117,-87.6268"
Hyde Park,"41.7996,-87.5948"
North Lawndale,"41.8619,-87.6934"
Loop,"41.8679,-87.623"
Lincoln Park,"41.912,-87.6348"
Lincoln Park,"41.9259,-87.639"
Loop,"41.8842,-87.6296"
Hyde Park,"41.7996,-87.5948"
,"41.903,-87.6313"
Loop,"41.881,-87.6241"
West Town,"41.9126,-87.6814"
,"41.8944,-87.6227"
Uptown,"41.961,-87.6496"
Lincoln Park,"41.9288,-87.6685"
Logan Square,"41.9267,-87.6977"
Logan Square,"41.9177,-87.6914"
Kenwood,"41.8058,-87.5925"
Loop,"41.884,-87.6247"
Lake View,"41.9455,-87.6464"
Hyde Park,"41.7993,-87.601"
Near West Side,"41.8718,-87.6466"
Near North Side,"41.894,-87.6226"
Near North Side,"41.8967,-87.6357"
Loop,"41.8765,-87.6205"
,"41.8975,-87.6288"
Loop,"41.8795,-87.6257"
Near North Side,"41.8909,-87.6355"
West Town,"41.8964,-87.6541"
,"42.0649,-87.7153"
Lincoln Park,"41.9312,-87.6443"
Avondale,"41.9353,-87.7169"
Near West Side,"41.8841,-87.6568"
Near West Side,"41.877,-87.639"
Lake View,"41.9357,-87.6636"
West Town,"41.9031,-87.6739"
Lake View,"41.9445,-87.6547"
Loop,"41.8821,-87.6251"
Near North Side,"41.8902,-87.6263"
Lake View,"41.9528,-87.65"
,"41.8892,-87.6385"
Near West Side,"41.8718,-87.6466"
Lake View,"41.9494,-87.6545"
Loop,"41.8827,-87.6372"
Lincoln Park,"41.9032,-87.6343"
,"41.8925,-87.6145"
,"41.9069,-87.6262"
Near North Side,"41.8958,-87.6259"
West Town,"41.8956,-87.6721"
,"41.9097,-87.6481"
Lower West Side,"41.8576,-87.6615"
,"41.891,-87.6354"
Near West Side,"41.8793,-87.6399"
Near West Side,"41.8722,-87.6615"
Lincoln Park,"41.9291,-87.6491"
Lincoln Park,"41.9184,-87.6522"
Near West Side,"41.8855,-87.6523"
West Town,"41.9077,-87.6726"
,"41.9079,-87.6316"
Lincoln Park,"41.9324,-87.6526"
Douglas,"41.8386,-87.6082"
Edgewater,"41.984,-87.6523"
,"41.9097,-87.6481"
Lincoln Park,"41.9031,-87.6346"
Near West Side,"41.8713,-87.6737"
Woodlawn,"41.7851,-87.6011"
Lincoln Park,"41.9324,-87.6527"
Near West Side,"41.8821,-87.6398"
Loop,"41.8869,-87.626"
,"41.8899,-87.6343"
,"41.8882,-87.6364"
New City,"41.8382,-87.6451"
Loop,"41.8847,-87.6277"
Near West Side,"41.8855,-87.6524"
Lake View,"41.9434,-87.6709"
,"41.8961,-87.6201"
Lake View,"41.9437,-87.649"
Logan Square,"41.9247,-87.6893"
Lake View,"41.9365,-87.6475"
Hyde Park,"41.7953,-87.5965"
Logan Square,"41.9146,-87.668"
Logan Square,"41.9227,-87.6971"
Lincoln Park,"41.9288,-87.6639"
Loop,"41.8679,-87.623"
Avalon Park,"41.7466,-87.586"
Lincoln Park,"41.9287,-87.6538"
Uptown,"41.9658,-87.6454"
Lincoln Park,"41.9157,-87.6346"
Lower West Side,"41.855,-87.6763"
Irving Park,"41.9536,-87.7093"
,"41.9394,-87.6833"
Loop,"41.872,-87.6297"
Lincoln Park,"41.9208,-87.6637"
,"41.899,-87.6299"
Near South Side,"41.8672,-87.6154"
,"41.8908,-87.6317"
Near West Side,"41.8781,-87.6398"
Loop,"41.8675,-87.6322"
,"41.903,-87.6313"
,"41.903,-87.6313"
Lake View,"41.9542,-87.6544"
,"41.8968,-87.6236"
Loop,"41.8869,-87.626"
Loop,"41.8843,-87.6295"
Near West Side,"41.8695,-87.6555"
,"41.903,-87.6313"
,"41.9046,-87.6407"
,"41.8958,-87.6201"
Lake View,"41.9446,-87.6548"
Logan Square,"41.9248,-87.7145"
Loop,"41.8868,-87.6223"
Loop,"41.8803,-87.6352"
Loop,"41.8726,-87.6335"
,"41.9434,-87.6796"
Loop,"41.8821,-87.6251"
,"41.8899,-87.6343"
West Town,"41.903,-87.6975"
Loop,"41.8868,-87.6223"
,"41.8907,-87.6316"
Loop,"41.875,-87.6331"
,"41.8968,-87.6309"
Near North Side,"41.8938,-87.6417"
Lake View,"41.9437,-87.664"
Lake View,"41.9437,-87.649"
Near North Side,"41.8967,-87.6357"
,"41.8994,-87.6485"
Lincoln Park,"41.9031,-87.6346"
Lincoln Square,"41.9691,-87.6742"
Loop,"41.8827,-87.6325"
Lincoln Park,"41.9183,-87.6363"
Albany Park,"41.9667,-87.708"
,"41.8922,-87.6119"
,"41.8968,-87.6215"
Loop,"41.8858,-87.6355"
Near North Side,"41.894,-87.6293"
West Town,"41.9126,-87.6814"
,"41.8882,-87.6364"
Lincoln Park,"41.9286,-87.6538"
Near West Side,"41.8821,-87.6398"
,"41.8968,-87.6309"
West Town,"41.9031,-87.6738"
Albany Park,"41.9659,-87.7008"
Lincoln Park,"41.9312,-87.6443"
Near West Side,"41.883,-87.6509"
Lake View,"41.9365,-87.6475"
Lake View,"41.9462,-87.6733"
Edgewater,"41.978,-87.668"
West Ridge,"41.9942,-87.6894"
Lincoln Park,"41.9147,-87.6433"
Loop,"41.8821,-87.6251"
Lake View,"41.9331,-87.6478"
Lincoln Park,"41.9263,-87.6308"
Loop,"41.8908,-87.6186"
Near West Side,"41.8855,-87.6523"
Lincoln Park,"41.9314,-87.6443"
,"41.9024,-87.6279"
Lincoln Park,"41.9292,-87.6491"
Lower West Side,"41.8548,-87.6636"
Lincoln Park,"41.9263,-87.631"
Near West Side,"41.8837,-87.6487"
Lincoln Park,"41.9183,-87.6363"
Near North Side,"41.8913,-87.6265"
Lincoln Park,"41.9256,-87.6584"
Lower West Side,"41.8582,-87.6565"
,"41.8892,-87.6278"
Lincoln Park,"41.9032,-87.6343"
Loop,"41.8726,-87.6335"
Lake View,"41.9408,-87.6392"
Edgewater,"41.9898,-87.6601"
Logan Square,"41.9202,-87.6927"
Loop,"41.8868,-87.6223"
West Town,"41.9104,-87.67"
Lincoln Park,"41.9263,-87.6309"
Lake View,"41.9437,-87.664"
Lake View,"41.9482,-87.6639"
Fuller Park,"41.795,-87.6331"
Hyde Park,"41.7917,-87.584"
Lincoln Park,"41.9208,-87.6637"
Near West Side,"41.882,-87.6488"
Woodlawn,"41.7851,-87.6011"
,"41.9488,-87.6753"
Loop,"41.8679,-87.623"
West Town,"41.9029,-87.6873"
Lincoln Park,"41.9121,-87.6347"
West Town,"41.9034,-87.6678"
Near West Side,"41.8687,-87.6862"
West Town,"41.8992,-87.6722"
Near West Side,"41.8777,-87.6548"
Uptown,"41.961,-87.6496"
Loop,"41.8821,-87.6251"
,"41.8882,-87.6364"
Lincoln Park,"41.9118,-87.6268"
West Town,"41.8958,-87.6772"
,"41.901,-87.6238"
Near South Side,"41.8672,-87.626"
West Town,"41.8964,-87.661"
Lincoln Park,"41.9117,-87.6267"
Logan Square,"41.9296,-87.7079"
Logan Square,"41.9142,-87.7168"
Humboldt Park,"41.8947,-87.7309"
Hyde Park,"41.7943,-87.6014"
Douglas,"41.8246,-87.6168"
Loop,"41.8803,-87.6352"
Near West Side,"41.8695,-87.6555"
West Town,"41.8918,-87.6588"
Lake View,"41.9367,-87.6368"
Lincoln Park,"41.9268,-87.6344"
Near South Side,"41.8672,-87.626"
Uptown,"41.9733,-87.6679"
Near South Side,"41.8641,-87.6237"
Near North Side,"41.8942,-87.6293"
Lincoln Park,"41.9201,-87.6489"
West Town,"41.9104,-87.6972"
,"41.8947,-87.6344"
Lincoln Park,"41.9218,-87.6441"
Logan Square,"41.9294,-87.6842"
Lower West Side,"41.8582,-87.6565"
Kenwood,"41.8058,-87.5925"
Lake View,"41.9528,-87.65"
Loop,"41.8728,-87.624"
Near West Side,"41.8649,-87.6471"
,"41.8947,-87.6344"
New City,"41.8436,-87.6455"
Loop,"41.881,-87.6167"
Lake View,"41.9542,-87.6545"
Lincoln Park,"41.9288,-87.6639"
Douglas,"41.8349,-87.6179"
Lincoln Park,"41.9263,-87.6308"
Near West Side,"41.873,-87.6691"
Near North Side,"41.894,-87.6293"
Near West Side,"41.8748,-87.6864"
Near North Side,"41.8986,-87.6227"
,"42.0482,-87.6835"
Lake View,"41.9401,-87.6455"
West Town,"41.9127,-87.6814"
Edgewater,"41.984,-87.6523"
,"41.9096,-87.6481"
Lincoln Park,"41.9182,-87.657"
,"41.8947,-87.6344"
South Shore,"41.7664,-87.5657"
Near South Side,"41.8566,-87.6275"
Loop,"41.881,-87.6167"
West Town,"41.9033,-87.6784"
West Town,"41.9071,-87.6672"
,"41.9106,-87.6494"
Lincoln Park,"41.9032,-87.6343"
Lincoln Park,"41.9322,-87.6586"
Loop,"41.8794,-87.6298"
Near West Side,"41.8713,-87.6737"
Lake View,"41.9544,-87.648"
Logan Square,"41.9203,-87.6926"
Lincoln Park,"41.9181,-87.6437"
Near West Side,"41.8671,-87.641"
Loop,"41.8844,-87.6193"
Logan Square,"41.9201,-87.6779"
Lake View,"41.9455,-87.6464"
Lincoln Park,"41.9032,-87.6343"
Near West Side,"41.8817,-87.6489"
Near North Side,"41.8958,-87.6259"
,"41.9488,-87.6753"
,"41.8948,-87.6342"
,"41.9069,-87.6262"
,"41.8945,-87.6178"
Lake View,"41.9542,-87.6544"
Near West Side,"41.8781,-87.6398"
Uptown,"41.9716,-87.6502"
Hyde Park,"41.7996,-87.5948"
Loop,"41.886,-87.6309"
,"41.8913,-87.6269"
Near North Side,"41.8901,-87.6262"
,"41.8968,-87.6309"
Near North Side,"41.8976,-87.6432"
West Town,"41.8887,-87.6445"
Lake View,"41.9362,-87.6525"
West Town,"41.903,-87.6975"
Uptown,"41.9617,-87.6546"
Near West Side,"41.884,-87.6569"
West Town,"41.9071,-87.6672"
,"41.8944,-87.6227"
Lincoln Park,"41.9326,-87.6364"
Lake View,"41.9491,-87.6486"
Uptown,"41.9716,-87.6502"
Near North Side,"41.894,-87.6225"
Lake View,"41.9367,-87.6368"
Near North Side,"41.891,-87.6355"
Loop,"41.8847,-87.6277"
Lincoln Park,"41.9157,-87.6346"
Near West Side,"41.8693,-87.6737"
Lake View,"41.9494,-87.6545"
,"41.908,-87.6315"
Near West Side,"41.8713,-87.6737"
Near West Side,"41.8772,-87.6394"
Near West Side,"41.8717,-87.651"
Near West Side,"41.8818,-87.6409"
Near South Side,"41.8577,-87.6195"
Lincoln Park,"41.9257,-87.6584"
Edgewater,"41.984,-87.6523"
Near West Side,"41.8866,-87.658"
Near West Side,"41.8781,-87.6398"
Loop,"41.886,-87.6241"
,"41.9023,-87.6277"
Armour Square,"41.8501,-87.6321"
Lake View,"41.9561,-87.6688"
Uptown,"41.9639,-87.6382"
,"41.8892,-87.6385"
,"41.8945,-87.6178"
Near West Side,"41.8777,-87.6494"
Hyde Park,"41.7993,-87.601"
