suburb,point
Near West Side,"41.8776,-87.6496"
West Town,"41.8946,-87.6535"
Loop,"41.8679,-87.623"
Lake View,"41.9397,-87.6589"
Lincoln Park,"41.9321,-87.6586"
,"41.8999,-87.6344"
Loop,"41.8794,-87.6298"
Loop,"41.8728,-87.624"
West Town,"41.9033,-87.6784"
West Town,"41.8916,-87.6484"
Near North Side,"41.9035,-87.6434"
,"41.9046,-87.6406"
Near North Side,"41.8948,-87.6325"
Near West Side,"41.873,-87.6691"
Lincoln Park,"41.9105,-87.6531"
Loop,"41.8741,-87.6277"
Uptown,"41.9733,-87.6679"
Edgewater,"41.9909,-87.6697"
Lincoln Square,"41.9691,-87.6742"
Lincoln Park,"41.9137,-87.6529"
Near North Side,"41.8965,-87.6358"
Loop,"41.8793,-87.632"
Loop,"41.8819,-87.6254"
Lake View,"41.9494,-87.6545"
Loop,"41.8793,-87.632"
,"41.9394,-87.6833"
Lincoln Park,"41.9256,-87.6537"
Lincoln Park,"41.9222,-87.6389"
,"42.0582,-87.6774"
,"41.9097,-87.6481"
Lincoln Park,"41.9287,-87.6538"
Lincoln Park,"41.9313,-87.6387"
Loop,"41.881,-87.6241"
Lake View,"41.9547,-87.6739"
Near North Side,"41.8977,-87.6235"
Loop,"41.8709,-87.6308"
Loop,"41.8675,-87.6322"
Lincoln Park,"41.9257,-87.6585"
West Town,"41.9034,-87.6678"
Loop,"41.8777,-87.6353"
,"41.8899,-87.6343"
West Town,"41.9077,-87.6726"
Near North Side,"41.9002,-87.643"
Lincoln Park,"41.9187,-87.6523"
Lincoln Park,"41.9181,-87.6437"
Near South Side,"41.8641,-87.6237"
Douglas,"41.831,-87.6268"
Uptown,"41.9579,-87.6495"
West Town,"41.9013,-87.6775"
Lincoln Park,"41.9288,-87.6639"
Grand Boulevard,"41.8099,-87.6163"
West Town,"41.8887,-87.6445"
West Town,"41.9129,-87.6642"
Lower West Side,"41.8574,-87.6617"
Lincoln Square,"41.9691,-87.6742"
Lincoln Park,"41.9105,-87.6531"
Lincoln Park,"41.929,-87.6425"
Loop,"41.886,-87.6309"
Edgewater,"41.984,-87.6603"
,"41.8949,-87.6344"
Near West Side,"41.8854,-87.653"
Douglas,"41.8349,-87.6179"
Near West Side,"41.8722,-87.6615"
Lake View,"41.9361,-87.6698"
Lake View,"41.9394,-87.6684"
,"41.8907,-87.6322"
,"41.9023,-87.6277"
West Town,"41.8958,-87.6772"
Loop,"41.8728,-87.624"
Lincoln Square,"41.9691,-87.6742"
Near North Side,"41.8947,-87.6384"
,"41.8982,-87.6375"
Lincoln Park,"41.9291,-87.6491"
Near West Side,"41.8718,-87.6466"
West Town,"41.9013,-87.6774"
Lincoln Park,"41.9138,-87.649"
Kenwood,"41.8141,-87.597"
,"41.8968,-87.6309"
,"41.8918,-87.6188"
West Town,"41.8887,-87.6445"
Lake View,"41.9542,-87.648"
Lake View,"41.9381,-87.6561"
Loop,"41.8821,-87.6251"
Logan Square,"41.9155,-87.687"
,"41.8882,-87.6364"
Lincoln Square,"41.9691,-87.6742"
Hyde Park,"41.7915,-87.5999"
,"41.8982,-87.6375"
Near North Side,"41.8912,-87.6353"
,"41.9023,-87.6277"
West Town,"41.8887,-87.6445"
,"41.901,-87.6238"
Lincoln Square,"41.9616,-87.6912"
Loop,"41.881,-87.6241"
Lincoln Park,"41.9218,-87.6441"
Loop,"41.8777,-87.6372"
Loop,"41.8842,-87.6296"
Lincoln Park,"41.9208,-87.6637"
Loop,"41.8793,-87.632"
,"41.908,-87.6315"
Near North Side,"41.8918,-87.6206"
South Shore,"41.7587,-87.5869"
Lincoln Park,"41.9184,-87.6522"
Lake View,"41.9455,-87.6463"
West Town,"41.9035,-87.6678"
West Town,"41.91,-87.68"
West Town,"41.91,-87.68"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
West Town,"41.8956,-87.6771"
Near West Side,"41.8855,-87.6523"
Near North Side,"41.8936,-87.6418"
Near West Side,"41.8721,-87.651"
Lake View,"41.9402,-87.6456"
Lake View,"41.94,-87.64"
Lake View,"41.948,-87.6637"
Lake View,"41.9377,-87.6445"
,"41.936,-87.6785"
Lake View,"41.9491,-87.6487"
Near North Side,"41.8977,-87.643"
,"41.8969,-87.6308"
Uptown,"41.9737,-87.6596"
Logan Square,"41.9296,-87.7079"
West Town,"41.91,-87.68"
West Town,"41.91,-87.68"
West Town,"41.91,-87.68"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
Lake View,"41.94,-87.66"
Lake View,"41.94,-87.66"
Lake View,"41.94,-87.66"
Lake View,"41.94,-87.66"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Lincoln Park,"41.9218,-87.6441"
Lake View,"41.948,-87.664"
Near West Side,"41.8776,-87.6496"
Lincoln Park,"41.9215,-87.6538"
Near West Side,"41.8822,-87.6411"
Logan Square,"41.9159,-87.6773"
Lincoln Park,"41.9254,-87.6658"
Near West Side,"41.8703,-87.6395"
Hyde Park,"41.7915,-87.5999"
Lake View,"41.9357,-87.6636"
Near West Side,"41.8695,-87.6555"
